Game_ID,Away_Abbrv,Home_Abbrv,Away_Score,Home_Score,Game_Away,Game_Home,Game_Year,Game_Date,Game_Tipoff,Game_Location,Neutral_Site,Conference_Competition,Attendance
400589702,GCU,UK,45,85,Grand Canyon,Kentucky,2014,11/14,20:00:00,Rupp Arena|Lexington|Kentucky,False,False,22533
400591790,MSM,ARIZ,55,78,Mount St Mary's,Arizona,2014,11/14,20:00:00,McKale Center|Tucson|Arizona,False,False,14655
400588633,NKU,WIS,31,62,Northern Kentucky,Wisconsin,2014,11/14,21:00:00,Kohl Center|Madison|Wisconsin,False,False,17279
400587747,PRE,DUKE,44,113,Presbyterian College,Duke,2014,11/14,18:00:00,Cameron Indoor Stadium|Durham|North Carolina,False,False,9314
400585668,UCSB,KU,59,69,UC Santa Barbara,Kansas,2014,11/14,20:00:00,Allen Fieldhouse|Lawrence|Kansas,False,False,16300
400587755,NCCU,UNC,60,76,North Carolina Central,North Carolina,2014,11/14,20:00:00,Dean E. Smith Center|Chapel Hill|North Carolina,False,False,17338
400597287,W&M,FLA,45,68,William & Mary,Florida,2014,11/14,18:00:00,Exactech Arena at the Stephen C. O&#39;Connell Center|Gainesville|Florida,False,False,10861
400587748,MINN,LOU,68,81,Minnesota,Louisville,2014,11/14,19:30:00,U.S.C.G. AIR STATION BORINQUEN|Aguadilla|Puerto Rico,True,False,1693
400587753,UVA,JMU,79,51,Virginia,James Madison,2014,11/14,19:00:00,JMU Convocation Center|Harrisonburg|Virginia,False,False,6782
400585674,NDSU,TEX,50,85,North Dakota State,Texas,2014,11/14,20:30:00,Frank Erwin Center|Austin|Texas,False,False,11232
400586295,NMSU,WICH,54,71,New Mexico State,Wichita St,2014,11/14,21:00:00,Charles Koch Arena|Wichita|Kansas,False,False,10506
400587025,LEH,NOVA,66,77,Lehigh,Villanova,2014,11/14,20:00:00,PPL Center|Allentown|Pennsylvania,True,False,0
400585873,SAC,GONZ,58,104,Sacramento State,Gonzaga,2014,11/14,21:00:00,McCarthey Athletic Center|Spokane|Washington,False,False,6000
400585667,OAK,ISU,82,93,Oakland,Iowa State,2014,11/14,20:00:00,Hilton Coliseum|Ames|Iowa,False,False,14384
400591082,TENN,VCU,69,85,Tennessee,VCU,2014,11/14,18:30:00,Alumni Hall|Annapolis|Maryland,True,False,0
400591552,CSUN,SDSU,58,79,CSU Northridge,San Diego State,2014,11/14,22:00:00,Viejas Arena|San Diego|California,False,False,12414
400586485,BRY,CONN,53,66,Bryant,Connecticut,2014,11/14,19:00:00,Gampel Pavilion|Storrs|Connecticut,False,False,10167
400587026,MSU,NAVY,64,59,Michigan State,Navy,2014,11/14,21:30:00,Alumni Hall|Annapolis|Maryland,False,False,5699
400595357,UML,OSU,55,92,UMass Lowell,Ohio State,2014,11/14,19:00:00,Value City Arena|Columbus|Ohio,False,False,13256
400586484,LAM,SMU,54,93,Lamar,SMU,2014,11/14,21:30:00,Moody Coliseum|Dallas|Texas,False,False,6971
400588634,KENN,SYR,42,89,Kennesaw State,Syracuse,2014,11/14,19:00:00,Carrier Dome|Syracuse|New York,False,False,22833
400591290,MIT,HARV,52,73,MIT,Harvard,2014,11/14,19:00:00,Lavietes Pavilion|Cambridge|Massachusetts,False,False,1941
400587388,BALL,UTAH,72,90,Ball State,Utah,2014,11/14,22:00:00,Jon M. Huntsman Center|Salt Lake City|Utah,False,False,9855
400586117,FAIR,DUKE,59,109,Fairfield,Duke,2014,11/15,20:00:00,Cameron Indoor Stadium|Durham|North Carolina,False,False,9314
400595362,HIL,MICH,68,92,Hillsdale,Michigan,2014,11/15,14:00:00,Crisler Center|Ann Arbor|Michigan,False,False,12707
400587392,BUFF,UK,52,71,Buffalo,Kentucky,2014,11/16,12:00:00,Rupp Arena|Lexington|Kentucky,False,False,22175
400593190,CSUN,ARIZ,68,86,CSU Northridge,Arizona,2014,11/16,20:00:00,McKale Center|Tucson|Arizona,False,False,14655
400589076,CHAT,WIS,45,89,Chattanooga,Wisconsin,2014,11/16,13:00:00,Kohl Center|Madison|Wisconsin,False,False,17279
400587760,RMU,UNC,59,103,Robert Morris,North Carolina,2014,11/16,18:00:00,Dean E. Smith Center|Chapel Hill|North Carolina,False,False,13579
400587761,NORF,UVA,39,67,Norfolk State,Virginia,2014,11/16,19:00:00,John Paul Jones Arena|Charlottesville|Virginia,False,False,12845
400585678,ALCN,TEX,53,85,Alcorn State,Texas,2014,11/16,20:00:00,Frank Erwin Center|Austin|Texas,False,False,8463
400585676,SELA,OKLA,53,78,Southeastern Louisiana,Oklahoma,2014,11/16,15:00:00,Lloyd Noble Center|Norman|Oklahoma,False,False,9626
400588638,NKU,NEB,61,80,Northern Kentucky,Nebraska,2014,11/16,14:00:00,Pinnacle Bank Arena|Lincoln|Nebraska,False,False,15479
400598551,HAMP,SYR,47,65,Hampton,Syracuse,2014,11/16,16:00:00,Carrier Dome|Syracuse|New York,False,False,22848
400587033,HARV,HC,57,58,Harvard,Holy Cross,2014,11/16,17:30:00,TD Garden|Boston|Massachusetts,True,False,0
400587765,JVST,LOU,39,88,Jacksonville State,Louisville,2014,11/17,19:00:00,KFC Yum! Center|Louisville|Kentucky,False,False,20479
400587764,MIA,FLA,69,67,Miami,Florida,2014,11/17,19:00:00,Exactech Arena at the Stephen C. O&#39;Connell Center|Gainesville|Florida,False,False,11156
400588328,UMES,NOVA,44,81,Maryland-Eastern Shore,Villanova,2014,11/17,19:00:00,The Pavilion (Villanova)|Villanova|Pennsylvania,False,False,6500
400586672,SMU,GONZ,56,72,SMU,Gonzaga,2014,11/17,23:00:00,McCarthey Athletic Center|Spokane|Washington,False,False,6000
400585681,GAST,ISU,58,81,Georgia State,Iowa State,2014,11/17,21:00:00,Hilton Coliseum|Ames|Iowa,False,False,13913
400587035,BUCK,MICH,53,77,Bucknell,Michigan,2014,11/17,20:00:00,Crisler Center|Ann Arbor|Michigan,False,False,12181
400585685,KU,UK,40,72,Kansas,Kentucky,2014,11/18,21:30:00,Bankers Life Fieldhouse|Indianapolis|Indiana,True,False,0
400587768,MSU,DUKE,71,81,Michigan State,Duke,2014,11/18,19:00:00,Bankers Life Fieldhouse|Indianapolis|Indiana,True,False,0
400587771,SCST,UVA,55,75,South Carolina State,Virginia,2014,11/18,19:00:00,John Paul Jones Arena|Charlottesville|Virginia,False,False,12493
400586306,WICH,MEM,71,56,Wichita St,Memphis,2014,11/18,14:00:00,Sanford Pentagon|Sioux Falls|South Dakota,True,False,3250
400587395,TOL,VCU,78,87,Toledo,VCU,2014,11/18,18:00:00,Stuart C. Siegel Center|Richmond|Virginia,False,False,0
400591558,UTAH,SDSU,49,53,Utah,San Diego State,2014,11/18,16:00:00,Viejas Arena|San Diego|California,False,False,12414
400588333,MARQ,OSU,63,74,Marquette,Ohio State,2014,11/18,19:30:00,Value City Arena|Columbus|Ohio,False,False,13233
400595367,UCA,NEB,56,82,Central Arkansas,Nebraska,2014,11/18,20:00:00,Pinnacle Bank Arena|Lincoln|Nebraska,False,False,15389
400593196,UCI,ARIZ,54,71,UC Irvine,Arizona,2014,11/19,21:00:00,McKale Center|Tucson|Arizona,False,False,14655
400595369,GB,WIS,60,84,Green Bay,Wisconsin,2014,11/19,21:00:00,Kohl Center|Madison|Wisconsin,False,False,17279
400587223,JOES,GONZ,42,94,Saint Joseph's,Gonzaga,2014,11/19,23:00:00,McCarthey Athletic Center|Spokane|Washington,False,False,6000
400585687,OKLA,CREI,63,65,Oklahoma,Creighton,2014,11/19,20:00:00,CenturyLink Center Omaha|Omaha|Nebraska,False,False,17393
400585688,TEX,IOWA,71,57,Texas,Iowa,2014,11/20,19:00:00,Madison Square Garden|New York|New York,True,False,0
400587043,BUCK,NOVA,65,72,Bucknell,Villanova,2014,11/20,20:00:00,The Pavilion (Villanova)|Villanova|Pennsylvania,False,False,6500
400591097,UMES,VCU,66,106,Maryland-Eastern Shore,VCU,2014,11/20,19:00:00,Stuart C. Siegel Center|Richmond|Virginia,False,False,0
400590731,CSB,SDSU,27,51,CSU Bakersfield,San Diego State,2014,11/20,22:30:00,Viejas Arena|San Diego|California,False,False,12414
400586677,COFC,CONN,57,65,Charleston,Connecticut,2014,11/20,13:00:00,Coliseo de Puerto Rico|San Juan|Puerto Rico,True,False,0
400586679,SMU,IND,68,74,SMU,Indiana,2014,11/20,20:00:00,Assembly Hall (Indiana)|Bloomington|Indiana,False,False,17472
400587777,SYR,CAL,59,73,Syracuse,California,2014,11/20,21:35:00,Madison Square Garden|New York|New York,True,False,11541
400595371,DET,MICH,62,71,Detroit Mercy,Michigan,2014,11/20,18:00:00,Crisler Center|Ann Arbor|Michigan,False,False,11812
400587045,BU,UK,65,89,Boston University,Kentucky,2014,11/21,19:00:00,Rupp Arena|Lexington|Kentucky,False,False,22485
400586682,TEM,DUKE,54,74,Temple,Duke,2014,11/21,21:30:00,Barclays Center|Brooklyn|New York,True,False,10135
400587779,MRSH,LOU,67,85,Marshall,Louisville,2014,11/21,21:00:00,KFC Yum! Center|Louisville|Kentucky,False,False,21661
400595197,ULM,FLA,56,61,Louisiana Monroe,Florida,2014,11/21,20:00:00,Exactech Arena at the Stephen C. O&#39;Connell Center|Gainesville|Florida,False,False,11003
400587781,GW,UVA,42,59,George Washington,Virginia,2014,11/21,19:00:00,John Paul Jones Arena|Charlottesville|Virginia,False,False,0
400607995,TEX,CAL,71,55,Texas,California,2014,11/21,19:30:00,Madison Square Garden|New York|New York,True,False,11255
400608010,DAY,CONN,64,75,Dayton,Connecticut,2014,11/21,14:30:00,Coliseo de Puerto Rico|San Juan|Puerto Rico,True,False,0
400586311,L-IL,MSU,52,87,Loyola (CHI),Michigan State,2014,11/21,19:00:00,Breslin Center|East Lansing|Michigan,False,False,14797
400607994,SYR,IOWA,66,63,Syracuse,Iowa,2014,11/21,17:00:00,Madison Square Garden|New York|New York,True,False,0
400593198,UCRV,UTAH,42,88,UC Riverside,Utah,2014,11/21,21:00:00,Jon M. Huntsman Center|Salt Lake City|Utah,False,False,0
400591567,BSU,WIS,54,78,Boise State,Wisconsin,2014,11/22,22:00:00,Kohl Center|Madison|Wisconsin,False,False,17279
400608268,STAN,DUKE,59,70,Stanford,Duke,2014,11/22,21:30:00,Barclays Center|Brooklyn|New York,True,False,10046
400587784,UNC,DAV,90,72,North Carolina,Davidson,2014,11/22,14:00:00,Spectrum Center|Charlotte|North Carolina,True,False,11113
400587229,STAC,GONZ,55,109,St. Thomas Aquinas,Gonzaga,2014,11/22,21:00:00,McCarthey Athletic Center|Spokane|Washington,False,False,6000
400591101,NEB,URI,62,66,Nebraska,Rhode Island,2014,11/22,19:00:00,Ryan Center|Kingston|Rhode Island,False,False,7657
400585904,EWU,SMU,68,77,Eastern Washington,SMU,2014,11/22,19:00:00,Moody Coliseum|Dallas|Texas,False,False,6852
400585905,MTST,UK,28,86,Montana State,Kentucky,2014,11/23,18:00:00,Rupp Arena|Lexington|Kentucky,False,False,0
400586319,NEW,WICH,57,105,Newman,Wichita St,2014,11/23,15:00:00,Charles Koch Arena|Wichita|Kansas,False,False,10506
400608189,CONN,WVU,68,78,Connecticut,West Virginia,2014,11/23,19:00:00,Coliseo de Puerto Rico|San Juan|Puerto Rico,True,False,8002
400585695,NWST,OKLA,68,90,Northwestern State,Oklahoma,2014,11/23,15:00:00,Lloyd Noble Center|Norman|Oklahoma,False,False,10056
400595381,SHU,OSU,48,106,Sacred Heart,Ohio State,2014,11/23,19:00:00,Value City Arena|Columbus|Ohio,False,False,12941
400593201,MIZ,ARIZ,53,72,Missouri,Arizona,2014,11/24,17:15:00,Lahaina Civic Center|Maui|Hawaii,True,False,2400
400587790,SAV,LOU,26,87,Savannah State,Louisville,2014,11/24,19:00:00,KFC Yum! Center|Louisville|Kentucky,False,False,19514
400585697,RID,KU,60,87,Rider,Kansas,2014,11/24,20:00:00,Allen Fieldhouse|Lawrence|Kansas,False,False,16300
400588341,NOVA,VCU,77,53,Villanova,VCU,2014,11/24,19:00:00,Barclays Center|Brooklyn|New York,True,False,0
400585699,ALA,ISU,74,84,Alabama,Iowa State,2014,11/24,21:30:00,Sprint Center|Kansas City|Missouri,True,False,0
400587232,BYU,SDSU,87,92,BYU,San Diego State,2014,11/24,23:30:00,Lahaina Civic Center|Maui|Hawaii,True,False,2400
400593203,MICH,ORE,70,63,Michigan,Oregon,2014,11/24,21:45:00,Barclays Center|Brooklyn|New York,True,False,8465
400595383,SCU,MSU,52,79,Santa Clara,Michigan State,2014,11/24,19:00:00,Breslin Center|East Lansing|Michigan,False,False,14797
400595205,UTA,UK,44,92,UT-Arlington,Kentucky,2014,11/25,19:00:00,Rupp Arena|Lexington|Kentucky,False,False,22639
400608449,KSU,ARIZ,68,72,Kansas State,Arizona,2014,11/25,19:30:00,Lahaina Civic Center|Maui|Hawaii,True,False,2400
400585703,SFU,TEX,46,78,St Francis (PA),Texas,2014,11/25,20:00:00,Frank Erwin Center|Austin|Texas,False,False,9356
400587793,TNST,UVA,36,79,Tennessee State,Virginia,2014,11/25,19:00:00,John Paul Jones Arena|Charlottesville|Virginia,False,False,12056
400608480,NOVA,MICH,60,55,Villanova,Michigan,2014,11/25,22:00:00,Barclays Center|Brooklyn|New York,True,False,8093
400608478,MD,ISU,72,63,Maryland,Iowa State,2014,11/25,21:30:00,Sprint Center|Kansas City|Missouri,True,False,0
400608481,VCU,ORE,77,63,VCU,Oregon,2014,11/25,19:30:00,Barclays Center|Brooklyn|New York,True,False,0
400608515,PITT,SDSU,57,74,Pittsburgh,San Diego State,2014,11/25,22:19:00,Lahaina Civic Center|Maui|Hawaii,True,False,2400
400587792,MIA,CHAR,77,74,Miami,Charlotte,2014,11/25,21:00:00,Halton Arena|Charlotte|North Carolina,False,False,7163
400588343,EIU,CREI,53,75,Eastern Illinois,Creighton,2014,11/25,20:00:00,CenturyLink Center Omaha|Omaha|Nebraska,False,False,17408
400586692,ARK,SMU,78,72,Arkansas,SMU,2014,11/25,19:30:00,Moody Coliseum|Dallas|Texas,False,False,7086
400591368,UAB,WIS,43,72,UAB,Wisconsin,2014,11/26,19:00:00,Imperial Arena|Nassau|Bahamas,True,False,2633
400608748,ARIZ,SDSU,61,59,Arizona,San Diego State,2014,11/26,22:28:00,Lahaina Civic Center|Maui|Hawaii,True,False,2400
400587795,FUR,DUKE,54,93,Furman,Duke,2014,11/26,17:00:00,Cameron Indoor Stadium|Durham|North Carolina,False,False,9314
400587794,UNC,BUT,66,74,North Carolina,Butler,2014,11/26,12:00:00,Imperial Arena|Nassau|Bahamas,True,False,3136
400587798,CLEV,LOU,33,45,Cleveland State,Louisville,2014,11/26,19:00:00,KFC Yum! Center|Louisville|Kentucky,False,False,20887
400587235,UGA,GONZ,76,88,Georgia,Gonzaga,2014,11/26,21:42:00,Madison Square Garden|New York|New York,True,False,5128
400589276,CAMP,OSU,64,91,Campbell,Ohio State,2014,11/26,19:00:00,Value City Arena|Columbus|Ohio,False,False,12508
400588345,GTWN,FLA,66,65,Georgetown,Florida,2014,11/26,21:30:00,Imperial Arena|Nassau|Bahamas,True,False,3240
400585706,VMI,WVU,72,103,VMI,West Virginia,2014,11/26,19:30:00,Charleston Civic Center|Charleston|West Virginia,True,False,8102
400585704,OKLA,UCLA,75,65,Oklahoma,UCLA,2014,11/26,14:50:00,Imperial Arena|Nassau|Bahamas,True,False,2174
400608870,GTWN,WIS,65,68,Georgetown,Wisconsin,2014,11/27,15:30:00,Imperial Arena|Nassau|Bahamas,True,False,3204
400608758,UNC,UCLA,78,56,North Carolina,UCLA,2014,11/27,19:00:00,Imperial Arena|Nassau|Bahamas,True,False,2940
400585707,KU,URI,76,60,Kansas,Rhode Island,2014,11/27,14:35:00,HP Field House|Orlando|Florida,True,False,3915
400608871,FLA,UAB,56,47,Florida,UAB,2014,11/27,21:30:00,Imperial Arena|Nassau|Bahamas,True,False,2408
400586146,MSU,RID,77,45,Michigan State,Rider,2014,11/27,18:30:00,HP Field House|Orlando|Florida,True,False,0
400608898,OKLA,WIS,56,69,Oklahoma,Wisconsin,2014,11/28,16:30:00,Imperial Arena|Nassau|Bahamas,True,False,2667
400608907,UNC,FLA,75,64,North Carolina,Florida,2014,11/28,20:00:00,Imperial Arena|Nassau|Bahamas,True,False,3298
400587802,LAS,UVA,56,64,La Salle,Virginia,2014,11/28,21:30:00,Barclays Center|Brooklyn|New York,True,False,4118
400608873,SJU,GONZ,66,73,St John's,Gonzaga,2014,11/28,19:00:00,Madison Square Garden|New York|New York,True,False,5548
400608901,TENN,KU,67,82,Tennessee,Kansas,2014,11/28,12:00:00,HP Field House|Orlando|Florida,True,False,0
400597912,JMU,OSU,56,73,James Madison,Ohio State,2014,11/28,16:00:00,Value City Arena|Columbus|Ohio,False,False,14310
400587804,USA,MIA,75,87,South Alabama,Miami,2014,11/28,19:00:00,Watsco Center|Coral Gables|Florida,False,False,4267
400608906,MSU,MARQ,79,68,Michigan State,Marquette,2014,11/28,21:00:00,HP Field House|Orlando|Florida,True,False,3449
400608908,UCLA,UAB,88,76,UCLA,UAB,2014,11/28,22:30:00,Imperial Arena|Nassau|Bahamas,True,False,517
400588347,MISS,CREI,75,68,Ole Miss,Creighton,2014,11/28,20:30:00,The Arena at Northwest FL St|Niceville|Florida,True,False,1600
400591372,UNT,ARK,73,89,North Texas,Arkansas,2014,11/28,21:00:00,Bud Walton Arena|Fayetteville|Arkansas,False,False,14885
400609058,UVA,RUTG,45,26,Virginia,Rutgers,2014,11/29,21:30:00,Barclays Center|Brooklyn|New York,True,False,4105
400586331,TLSA,WICH,55,75,Tulsa,Wichita St,2014,11/29,15:00:00,Charles Koch Arena|Wichita|Kansas,False,False,10506
400591110,VCU,ODU,67,73,VCU,Old Dominion,2014,11/29,14:00:00,Ted Constant Convocation Center|Norfolk|Virginia,False,False,8472
400595587,NICH,MICH,62,91,Nicholls,Michigan,2014,11/29,16:00:00,Crisler Center|Ann Arbor|Michigan,False,False,11139
400585710,COFC,WVU,57,86,Charleston,West Virginia,2014,11/29,19:30:00,WVU Coliseum|Morgantown|West Virginia,False,False,7367
400609028,MTSU,CREI,47,57,Middle Tennessee,Creighton,2014,11/29,18:00:00,The Arena at Northwest FL St|Niceville|Florida,True,False,1215
400588349,PROV,UK,38,58,Providence,Kentucky,2014,11/30,14:00:00,Rupp Arena|Lexington|Kentucky,False,False,23601
400587070,ARMY,DUKE,73,93,Army,Duke,2014,11/30,12:00:00,Cameron Indoor Stadium|Durham|North Carolina,False,False,9314
400585711,TEX,CONN,55,54,Texas,Connecticut,2014,11/30,12:00:00,Gampel Pavilion|Storrs|Connecticut,False,False,10167
400609032,KU,MSU,61,56,Kansas,Michigan State,2014,11/30,13:00:00,HP Field House|Orlando|Florida,True,False,4842
400588351,DEL,NOVA,47,78,Delaware,Villanova,2014,11/30,16:30:00,Wells Fargo Center|Philadelphia|Pennsylvania,False,False,11289
400586154,IONA,ARK,77,94,Iona,Arkansas,2014,11/30,15:30:00,Bud Walton Arena|Fayetteville|Arkansas,False,False,14618
400586157,MRST,BC,61,79,Marist,Boston College,2014,12/01,19:00:00,Silvio Conte Forum|Chestnut Hill|Massachusetts,False,False,1748
400586158,SIE,FOR,67,69,Siena,Fordham,2014,12/01,19:00:00,Rose Hill Gymnasium|Bronx|New York,False,False,1235
400586159,BUCK,FAIR,72,66,Bucknell,Fairfield,2014,12/01,19:00:00,Webster Bank Arena|Bridgeport|Connecticut,False,False,1226
400587424,MAR,EMU,52,83,Marygrove College,Eastern Michigan,2014,12/01,19:00:00,Convocation Center (MI)|Ypsilanti|Michigan,False,False,272
400587809,RUTG,CLEM,69,64,Rutgers,Clemson,2014,12/01,19:00:00,Littlejohn Coliseum|Clemson|South Carolina,False,False,6285
400587810,NEB,FSU,70,65,Nebraska,Florida State,2014,12/01,19:00:00,Donald L. Tucker Center|Tallahassee|Florida,False,False,6406
400588668,EAU,UNF,65,97,Edward Waters,North Florida,2014,12/01,19:00:00,UNF Arena|Jacksonville|Florida,False,False,1263
400588669,BBS,UPST,43,105,Barber-Scotia,South Carolina Upstate,2014,12/01,19:00:00,Hodge Center|Spartanburg|South Carolina,False,False,522
400589104,HP,UNCG,76,68,High Point,UNC Greensboro,2014,12/01,19:00:00,Greensboro Coliseum|Greensboro|North Carolina,False,False,3032
400589105,ETSU,MORE,63,59,East Tennessee St.,Morehead State,2014,12/01,19:00:00,Ellis T. Johnson Arena|Morehead|Kentucky,False,False,2132
400589106,FUR,LIB,52,66,Furman,Liberty,2014,12/01,19:00:00,Vines Center|Lynchburg|Virginia,False,False,1630
400589283,SAV,WIN,47,68,Savannah State,Winthrop,2014,12/01,19:00:00,Winthrop Coliseum|Rock Hill|South Carolina,False,False,804
400597751,AQU,DET,59,109,Aquinas College,Detroit Mercy,2014,12/01,19:00:00,Calihan Hall|Detroit|Michigan,False,False,1497
400589107,WCU,CHSO,66,72,Western Carolina,Charleston Southern,2014,12/01,19:30:00,CSU Field House|Charleston|South Carolina,False,False,855
400591376,SC,MRSH,77,59,South Carolina,Marshall,2014,12/01,19:30:00,Cam Henderson Center|Huntington|West Virginia,False,False,5013
400598562,G-B,COPP,50,103,Goldey-Beacom,Coppin State,2014,12/01,19:30:00,Physical Education Complex|Baltimore|Maryland,False,False,721
400588667,JAC,SAM,70,76,Jacksonville,Samford,2014,12/01,20:00:00,Pete Hanna Center|Birmingham|Alabama,False,False,613
400595210,ARST,UCA,67,49,Arkansas State,Central Arkansas,2014,12/01,20:00:00,Farris Center|Conway|Arkansas,False,False,1734
400597769,MNDU,GB,52,78,MINN Duluth,Green Bay,2014,12/01,20:00:00,Resch Center|Ashwaubenon|Wisconsin,False,False,2249
400585713,TXSO,BAY,49,75,Texas Southern,Baylor,2014,12/01,21:00:00,Ferrell Center|Waco|Texas,False,False,4286
400585932,ORU,WEB,61,62,Oral Roberts,Weber State,2014,12/01,21:00:00,Dee Events Center|Ogden|Utah,False,False,5633
400590746,PL,SEA,33,72,Pacific Lutheran,Seattle,2014,12/01,22:00:00,ShoWare Center|Kent|Washington,True,False,554
400585933,UVU,SAC,56,65,Utah Valley,Sacramento State,2014,12/01,22:05:00,The Nest|Sacramento|California,False,False,383
400589285,WEBB,ARIZ,65,91,Gardner-Webb,Arizona,2014,12/02,21:00:00,McKale Center|Tucson|Arizona,False,False,14150
400587816,OSU,LOU,55,64,Ohio State,Louisville,2014,12/02,21:30:00,KFC Yum! Center|Louisville|Kentucky,False,False,22784
400585716,UTA,TEX,53,63,UT-Arlington,Texas,2014,12/02,20:00:00,Frank Erwin Center|Austin|Texas,False,False,8632
400595592,SELA,GONZ,57,76,Southeastern Louisiana,Gonzaga,2014,12/02,21:00:00,McCarthey Athletic Center|Spokane|Washington,False,False,6000
400587814,ILL,MIA,61,70,Illinois,Miami,2014,12/02,21:00:00,Watsco Center|Coral Gables|Florida,False,False,6086
400587813,SYR,MICH,65,68,Syracuse,Michigan,2014,12/02,19:30:00,Crisler Center|Ann Arbor|Michigan,False,False,12707
400585714,LAM,ISU,59,96,Lamar,Iowa State,2014,12/02,20:00:00,Hilton Coliseum|Ames|Iowa,False,False,13907
400587822,DUKE,WIS,80,70,Duke,Wisconsin,2014,12/03,21:30:00,Kohl Center|Madison|Wisconsin,False,False,17279
400587821,UVA,MD,76,65,Virginia,Maryland,2014,12/03,21:15:00,XFINITY Center|College Park|Maryland,False,False,15371
400586341,WICH,UTAH,68,69,Wichita St,Utah,2014,12/03,23:00:00,Jon M. Huntsman Center|Salt Lake City|Utah,False,False,14319
400588353,NOVA,LAS,84,70,Villanova,La Salle,2014,12/03,20:30:00,Tom Gola Arena|Philadelphia|Pennsylvania,False,False,3400
400587819,IOWA,UNC,60,55,Iowa,North Carolina,2014,12/03,19:30:00,Dean E. Smith Center|Chapel Hill|North Carolina,False,False,18040
400587817,MSU,ND,78,79,Michigan State,Notre Dame,2014,12/03,19:15:00,Purcell Pavilion|South Bend|Indiana,False,False,9149
400586338,BUT,INST,77,54,Butler,Indiana State,2014,12/03,19:05:00,Hulman Center|Terre Haute|Indiana,False,False,0
400587248,USD,SDSU,48,57,San Diego,San Diego State,2014,12/04,23:00:00,Viejas Arena|San Diego|California,False,False,12414
400585720,LSU,WVU,74,73,LSU,West Virginia,2014,12/04,19:00:00,WVU Coliseum|Morgantown|West Virginia,False,False,10802
400585721,ARK,ISU,77,95,Arkansas,Iowa State,2014,12/04,21:00:00,Hilton Coliseum|Ames|Iowa,False,False,14384
400585723,TEX,UK,51,63,Texas,Kentucky,2014,12/05,19:00:00,Rupp Arena|Lexington|Kentucky,False,False,24340
400587824,FIU,LOU,57,82,Florida Intl,Louisville,2014,12/05,19:00:00,KFC Yum! Center|Louisville|Kentucky,False,False,20541
400585724,FLA,KU,65,71,Florida,Kansas,2014,12/05,21:15:00,Allen Fieldhouse|Lawrence|Kansas,False,False,16300
400585725,MIZ,OKLA,63,82,Missouri,Oklahoma,2014,12/05,21:30:00,Lloyd Noble Center|Norman|Oklahoma,False,False,11652
400588356,WIS,MARQ,49,38,Wisconsin,Marquette,2014,12/06,12:30:00,BMO Harris Bradley Center|Milwaukee|Wisconsin,False,False,18573
400587249,GONZ,ARIZ,63,66,Gonzaga,Arizona,2014,12/06,17:15:00,McKale Center|Tucson|Arizona,False,False,14655
400587826,UVA,VCU,74,57,Virginia,VCU,2014,12/06,14:00:00,Stuart C. Siegel Center|Richmond|Virginia,False,False,0
400586346,SLU,WICH,52,81,Saint Louis,Wichita St,2014,12/06,18:00:00,Intrust Bank Arena|Wichita|Kansas,False,False,15004
400588357,JOES,NOVA,46,74,Saint Joseph's,Villanova,2014,12/06,13:00:00,The Pavilion (Villanova)|Villanova|Pennsylvania,False,False,6500
400587086,COLG,OSU,50,70,Colgate,Ohio State,2014,12/06,16:30:00,Value City Arena|Columbus|Ohio,False,False,14054
400587831,GB,MIA,68,55,Green Bay,Miami,2014,12/06,14:00:00,Watsco Center|Coral Gables|Florida,False,False,4735
400598837,NJIT,MICH,72,70,NJIT,Michigan,2014,12/06,12:00:00,Crisler Center|Ann Arbor|Michigan,False,False,12226
400595396,ARPB,MSU,52,85,Arkansas-Pine Bluff,Michigan State,2014,12/06,14:15:00,Breslin Center|East Lansing|Michigan,False,False,14797
400589294,WIN,MD,62,82,Winthrop,Maryland,2014,12/06,14:00:00,XFINITY Center|College Park|Maryland,False,False,9345
400588358,NW,BUT,56,65,Northwestern,Butler,2014,12/06,16:30:00,Hinkle Fieldhouse|Indianapolis|Indiana,False,False,7920
400587085,AMER,ILL,55,70,American,Illinois,2014,12/06,14:00:00,State Farm Center|Champaign|Illinois,False,False,13924
400596339,EKY,UK,49,82,Eastern Kentucky,Kentucky,2014,12/07,18:00:00,Rupp Arena|Lexington|Kentucky,False,False,23268
400586717,ECU,UNC,64,108,East Carolina,North Carolina,2014,12/07,15:00:00,Dean E. Smith Center|Chapel Hill|North Carolina,False,False,18741
400591589,SDSU,WASH,36,49,San Diego State,Washington,2014,12/07,21:00:00,Alaska Airlines Arena|Seattle|Washington,False,False,6199
400585728,WVU,NKU,67,42,West Virginia,Northern Kentucky,2014,12/07,18:00:00,BB&T Arena|Highland Heights|Kentucky,False,False,5089
400587832,ARK,CLEM,65,68,Arkansas,Clemson,2014,12/07,17:00:00,Littlejohn Coliseum|Clemson|South Carolina,False,False,6764
400588363,KENN,BUT,51,93,Kennesaw State,Butler,2014,12/08,19:00:00,Hinkle Fieldhouse|Indianapolis|Indiana,False,False,5103
400587834,SAV,MIA,39,70,Savannah State,Miami,2014,12/08,19:00:00,Watsco Center|Coral Gables|Florida,False,False,4274
400593215,UVU,ARIZ,56,87,Utah Valley,Arizona,2014,12/09,21:00:00,McKale Center|Tucson|Arizona,False,False,14321
